,field,comp_url
140,Outsourcing/Offshoring,/company/transcom/
141,Cosmetics,/company/svr/
142,Information Technology & Services,/company/corporama/
143,Staffing & Recruiting,/company/adecco/
144,Internet,/company/ebg-elenbi/
145,Marketing & Advertising,/company/aximum/
146,Staffing & Recruiting,/company/keejob/
147,Information Services,/company/khdemti/
148,Management Consulting,/company/polina/
149,Human Resources,/company/emploi-recrutement/
150,Staffing & Recruiting,/company/kedmatn/
151,Libraries,/company/demandes-d-emploi/
152,Banking,/company/banquedetunisie/
153,Insurance,/company/gat-assurances/
154,"Paris, île-de-france",/company/institut-sup%C3%A9rieur-de-gestion/
155,Insurance,/company/starassurances/
156,Staffing & Recruiting,/company/rekrutee2020/
157,Food Production,/company/delice-holding/
158,Automotive,/company/leoni-tunisia/
159,Supermarkets,/company/carrefour/
160,Retail,/company/monoprix/
161,Food Production,/company/vilaconic/
162,Rennes,/company/facult%C3%A9-des-sciences-economiques-de-l'universit%C3%A9-de-rennes1/
163,Financial Services,/company/tunisie-leasing-factoring/
164,Supermarkets,/company/monoprix-tunisie1/
165,"Hammersmith, London",/company/westlondoncol/
166,Banking,/company/tf-bank/
167,Online Media,/company/ilboursa-com/
168,Information Technology & Services,/company/ats---digital-dev/
169,Oil & Energy,/company/edvance.fr/
170,Internet,/company/linkedin-member-guide/
171,"Saint-Denis, Île-de-France",/company/universit%C3%A9-vincennes-saint-denis-paris-viii-/
172,Human Resources,/company/cdicdd/
173,Education Management,/company/ihec-sfax-institut-des-hautes-%C3%A9tudes-commerciales-de-sfax/
174,Individual & Family Services,/company/marouani-service-general/
175,Information Technology & Services,/company/cabinet-mounir-zammit/
176,Banking,/company/btl-banque-tuniso-libyenne/
177,Banking,/company/arabtunisianbank/
178,Management Consulting,/company/boston-consulting-group/
179,Management Consulting,/company/bain-and-company/
180,Financial Services,/company/ifclinkedin/
181,International Affairs,/company/usaid/
182,Consumer Goods,/company/bic/
183,Accounting,/company/mooreglobal/
184,Investment Banking,/company/swicorp/
185,Accounting,/company/ifac/
186,International Trade & Development,/company/oco-global/
187,Accounting,/company/ecovis-wingrave-yeats/
188,"Glass, Ceramics & Concrete",/company/duravit-ag/
189,Management Consulting,/company/fmcgroup/
190,Financial Services,/company/africinvestgrp/
191,International Trade & Development,/company/the-world-bank/
192,Human Resources,/company/novative-sa/
193,Individual & Family Services,/company/enda-inter-arabe/
194,Computer Software,/company/odoo/
195,Management Consulting,/company/acting-finances/
196,International Trade & Development,/company/expertise-france/
197,Broadcast Media,/company/bbc-studios/
198,Media Production,/company/itv-studios/
199,Information Technology & Services,/company/sofrecom-tunisie/
200,les berges du lac1,/company/go-my-code/
201,E-learning,/company/takiacademy/
202,Electrical & Electronic Manufacturing,/company/schneider-electric/
203,Internet,/company/youtube/
204,Mechanical Or Industrial Engineering,/company/daikin-applied/
205,Consumer Electronics,/company/apple/
206,Entertainment,/company/netflix/
207,Construction,/company/aquatherm-uk/
208,"Health, Wellness & Fitness",/company/hydroconcept-monaco/
209,Construction,/company/oger-international/
210,Online Media,/company/businessinsider/
211,Mechanical Or Industrial Engineering,/company/skm-air-conditioning-l-l-c/
212,Staffing & Recruiting,/company/emploitic-com/
213,Mechanical Or Industrial Engineering,/company/bitzer/
214,Business Supplies & Equipment,/company/cgtb/
215,International Trade & Development,/company/gizgmbh/
216,Architecture & Planning,/company/drawlink/
217,Construction,/company/the-lawton-tube-company-ltd/
218,Computer Software,/company/instagram/
219,Airlines/Aviation,/company/tunisair/
220,Human Resources,/company/progress-rh-tunisie/
221,Information Technology & Services,/company/dxctechnology/
222,Internet,/company/livres-techniques/
223,260 followers,/company/tunisair-handling/
224,Staffing & Recruiting,/company/emploi-conseils/
225,Staffing & Recruiting,/company/recruter/
226,Internet,/company/rakutenfrance/
227,Computer Software,/company/inetumtunisie/
228,Entertainment,/company/cultural-village---katara/
229,Staffing & Recruiting,/company/qatar-jobstoday/
230,Information Technology & Services,/company/amontech/
231,Staffing & Recruiting,/company/gilbert-&-charles/
232,Staffing & Recruiting,/company/cpl-jobs-tunisie/
233,Professional Training & Coaching,/company/codev-international/
234,Professional Training & Coaching,/company/l2mtunisnord/
235,Staffing & Recruiting,/company/amalo-recrutement/
236,Information Technology & Services,/company/inetum/
237,E-learning,/company/ruspina-centre-de-formation/
238,Cosmetics,/company/happynesstunisie/
239,Banking,/company/al-baraka-bank-tunisie/
240,Transportation/Trucking/Railroad,/company/alstom/
241,Information Technology & Services,/company/fis/
242,Chemicals,/company/airliquide/
243,Banking,/company/desjardins/
244,Information Technology & Services,/company/vermeg/
245,International Trade & Development,/company/african-development-bank/
246,Staffing & Recruiting,/company/vidal-associates/
247,Banking,/company/ebrd/
248,Insurance,/company/euler-hermes/
249,Telecommunications,/company/ooredootn/
250,Information Technology & Services,/company/targa-consult/
251,Outsourcing/Offshoring,/company/telnet_2/
252,Computer Software,/company/tritux/
253,Research,/company/comete-engineering/
254,Banking,/company/attijari-bank/
255,Non-profit Organization Management,/company/r-seau-entreprendre/
256,"Glassboro, NJ",/company/rowan-university/
257,Higher Education,/company/minist-re-de-l'enseignement-sup-rieur/
258,Oil & Energy,/company/spie-oil-&-gas-services/
259,International Trade & Development,/company/gfa-consulting-group-gmbh/
260,Computer Software,/company/ngi-maghreb/
261,Oil & Energy,/company/camco-oilfield-services/
262,Electrical & Electronic Manufacturing,/company/samsung-electronic-tunisie/
263,Libraries,/company/library-connect/
264,Higher Education,/company/facult%C3%A9-des-sciences-de-tunis/
265,Publishing,/company/interestingengineering/
266,Oil & Energy,/company/etaptunisia/
267,"Tunis, Tunis",/company/university-of-tunis-el-manar/
268,Higher Education,/company/universit%C3%A9-de-sfax/
269,Oil & Energy,/company/geology-science/
270,"Paris, Ile de France",/company/universit%C3%A9-de-paris/
271,Civil Engineering,/company/civilengineeringdiscoveries/
272,Farming,/company/geopro-tunisie/
273,International Trade & Development,/company/giz-tunisie/
274,Online Media,/company/successful-tunisia/
275,Human Resources,/company/professional-recruiter/
276,Insurance,/company/star-assurance-company-ltd/
277,Banking,/company/wifak-international-bank/
278,Automotive,/company/ford-tunisie/
